# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_000011005.1,ASM1100v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/005/GCA_000011005.1_ASM1100v1,GCA_000011005.1,Complete Genome,ASM1100v1,PRJDA20361,SAMD00060931,GCA_000011005.1,full,Methanocella paludicola SANAE,na,GCA_000011005.1,
GCA_000011085.1,ASM1108v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,GCA_000011085.1,Complete Genome,ASM1108v1,PRJNA224116,SAMN02603385,GCA_000011085.1,full,Haloarcula marismortui ATCC 43049,na,GCF_000011085.1,
GCA_000011105.1,ASM1110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1,GCA_000011105.1,Complete Genome,ASM1110v1,PRJNA224116,SAMD00061090,GCA_000011105.1,full,Pyrococcus horikoshii OT3,representative genome,GCF_000011105.1,
GCA_000011125.1,ASM1112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1,GCA_000011125.1,Complete Genome,ASM1112v1,PRJNA211,SAMD00061092,GCA_000011125.1,full,Aeropyrum pernix K1,na,GCA_000011125.1,
GCA_000011185.1,ASM1118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1,GCA_000011185.1,Complete Genome,ASM1118v1,PRJNA224116,SAMD00061089,GCA_000011185.1,full,Thermoplasma volcanium GSS1,representative genome,GCF_000011185.1,
GCA_000011205.1,ASM1120v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1,GCA_000011205.1,Complete Genome,ASM1120v1,PRJNA224116,SAMD00061096,GCA_000011205.1,full,Sulfurisphaera tokodaii str. 7,representative genome,GCF_000011205.1,
GCA_000012285.1,ASM1228v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/285/GCA_000012285.1_ASM1228v1,GCA_000012285.1,Complete Genome,ASM1228v1,PRJNA224116,SAMN02603173,GCA_000012285.1,full,Sulfolobus acidocaldarius DSM 639,representative genome,GCF_000012285.1,
GCA_000012545.1,ASM1254v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/545/GCA_000012545.1_ASM1254v1,GCA_000012545.1,Complete Genome,ASM1254v1,PRJNA224116,SAMN02604180,GCA_000012545.1,full,Methanosphaera stadtmanae DSM 3091,representative genome,GCF_000012545.1,
GCA_000013445.1,ASM1344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/445/GCA_000013445.1_ASM1344v1,GCA_000013445.1,Complete Genome,ASM1344v1,PRJNA224116,SAMN02598287,GCA_000013445.1,full,Methanospirillum hungatei JF-1,representative genome,GCF_000013445.1,
GCA_000013725.1,ASM1372v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/725/GCA_000013725.1_ASM1372v1,GCA_000013725.1,Complete Genome,ASM1372v1,PRJNA224116,SAMN02598545,GCA_000013725.1,full,Methanococcoides burtonii DSM 6242,representative genome,GCF_000013725.1,
GCA_000014945.1,ASM1494v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/945/GCA_000014945.1_ASM1494v1,GCA_000014945.1,Complete Genome,ASM1494v1,PRJNA15765,SAMN02598350,GCA_000014945.1,full,Methanothrix thermoacetophila PT,na,GCA_000014945.1,
GCA_000015145.1,ASM1514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,GCA_000015145.1,Complete Genome,ASM1514v1,PRJNA224116,SAMN02604082,GCA_000015145.1,full,Hyperthermus butylicus DSM 5456,representative genome,GCF_000015145.1,
GCA_000015205.1,ASM1520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/205/GCA_000015205.1_ASM1520v1,GCA_000015205.1,Complete Genome,ASM1520v1,PRJNA224116,SAMN02598374,GCA_000015205.1,full,Pyrobaculum islandicum DSM 4184,na,GCF_000015205.1,
GCA_000015225.1,ASM1522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/225/GCA_000015225.1_ASM1522v1,GCA_000015225.1,Complete Genome,ASM1522v1,PRJNA224116,SAMN02598366,GCA_000015225.1,full,Thermofilum pendens Hrk 5,na,GCF_000015225.1,
GCA_000015765.1,ASM1576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/765/GCA_000015765.1_ASM1576v1,GCA_000015765.1,Complete Genome,ASM1576v1,PRJNA224116,SAMN00623052,GCA_000015765.1,full,Methanocorpusculum labreanum Z,representative genome,GCF_000015765.1,
GCA_000015805.1,ASM1580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/805/GCA_000015805.1_ASM1580v1,GCA_000015805.1,Complete Genome,ASM1580v1,PRJNA18111,SAMN00623060,GCA_000015805.1,full,Pyrobaculum calidifontis JCM 11548,na,GCA_000015805.1,
GCA_000015825.1,ASM1582v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/825/GCA_000015825.1_ASM1582v1,GCA_000015825.1,Complete Genome,ASM1582v1,PRJNA224116,SAMN02598365,GCA_000015825.1,full,Methanoculleus marisnigri JR1,representative genome,GCF_000015825.1,
GCA_000015945.1,ASM1594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/945/GCA_000015945.1_ASM1594v1,GCA_000015945.1,Complete Genome,ASM1594v1,PRJNA224116,SAMN02598390,GCA_000015945.1,full,Staphylothermus marinus F1,na,GCF_000015945.1,
GCA_000016125.1,ASM1612v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1,GCA_000016125.1,Complete Genome,ASM1612v1,PRJNA224116,SAMN02598397,GCA_000016125.1,full,Methanococcus maripaludis C5,na,GCF_000016125.1,
GCA_000016385.1,ASM1638v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/385/GCA_000016385.1_ASM1638v1,GCA_000016385.1,Complete Genome,ASM1638v1,PRJNA15582,SAMN02598330,GCA_000016385.1,full,Pyrobaculum arsenaticum DSM 13514,na,GCA_000016385.1,
GCA_000016525.1,ASM1652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,GCA_000016525.1,Complete Genome,ASM1652v1,PRJNA224116,SAMN02604313,GCA_000016525.1,full,Methanobrevibacter smithii ATCC 35061,representative genome,GCF_000016525.1,
GCA_000016605.1,ASM1660v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,GCA_000016605.1,Complete Genome,ASM1660v1,PRJNA224116,SAMN02598389,GCA_000016605.1,full,Metallosphaera sedula DSM 5348,representative genome,GCF_000016605.1,
GCA_000017165.1,ASM1716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1,GCA_000017165.1,Complete Genome,ASM1716v1,PRJNA224116,SAMN02598403,GCA_000017165.1,full,Methanococcus vannielii SB,representative genome,GCF_000017165.1,
GCA_000017185.1,ASM1718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/185/GCA_000017185.1_ASM1718v1,GCA_000017185.1,Complete Genome,ASM1718v1,PRJNA224116,SAMN00623051,GCA_000017185.1,full,Methanococcus aeolicus Nankai-3,representative genome,GCF_000017185.1,
GCA_000017225.1,ASM1722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/225/GCA_000017225.1_ASM1722v1,GCA_000017225.1,Complete Genome,ASM1722v1,PRJNA224116,SAMN00000031,GCA_000017225.1,full,Methanococcus maripaludis C7,representative genome,GCF_000017225.1,
GCA_000017625.1,ASM1762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/625/GCA_000017625.1_ASM1762v1,GCA_000017625.1,Complete Genome,ASM1762v1,PRJNA224116,SAMN02598409,GCA_000017625.1,full,Methanoregula boonei 6A8,representative genome,GCF_000017625.1,
GCA_000017945.1,ASM1794v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1,GCA_000017945.1,Complete Genome,ASM1794v1,PRJNA224116,SAMN02598324,GCA_000017945.1,full,Ignicoccus hospitalis KIN4/I,representative genome,GCF_000017945.1,
GCA_000018305.1,ASM1830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,GCA_000018305.1,Complete Genome,ASM1830v1,PRJNA224116,SAMN00623034,GCA_000018305.1,full,Caldivirga maquilingensis IC-167,representative genome,GCF_000018305.1,
GCA_000018365.1,ASM1836v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/365/GCA_000018365.1_ASM1836v1,GCA_000018365.1,Complete Genome,ASM1836v1,PRJNA224116,SAMN02603476,GCA_000018365.1,full,Thermococcus onnurineus NA1,representative genome,GCF_000018365.1,
GCA_000018465.1,ASM1846v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/465/GCA_000018465.1_ASM1846v1,GCA_000018465.1,Complete Genome,ASM1846v1,PRJNA19265,SAMN00000032,GCA_000018465.1,full,Nitrosopumilus maritimus SCM1,na,GCA_000018465.1,
GCA_000018485.1,ASM1848v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/485/GCA_000018485.1_ASM1848v1,GCA_000018485.1,Complete Genome,ASM1848v1,PRJNA224116,SAMN02598423,GCA_000018485.1,full,Methanococcus maripaludis C6,na,GCF_000018485.1,
GCA_000019605.1,ASM1960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/605/GCA_000019605.1_ASM1960v1,GCA_000019605.1,Complete Genome,ASM1960v1,PRJNA224116,SAMN02598368,GCA_000019605.1,full,Candidatus Korarchaeum cryptofilum OPF8,na,GCF_000019605.1,
GCA_000019805.1,ASM1980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/805/GCA_000019805.1_ASM1980v1,GCA_000019805.1,Complete Genome,ASM1980v1,PRJNA15645,SAMN02598332,GCA_000019805.1,full,Pyrobaculum neutrophilum V24Sta,na,GCA_000019805.1,
GCA_000021965.1,ASM2196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/965/GCA_000021965.1_ASM2196v1,GCA_000021965.1,Complete Genome,ASM2196v1,PRJNA224116,SAMN00001866,GCA_000021965.1,full,Methanosphaerula palustris E1-9c,representative genome,GCF_000021965.1,
GCA_000022205.1,ASM2220v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,GCA_000022205.1,Complete Genome,ASM2220v1,PRJNA224116,SAMN02598407,GCA_000022205.1,full,Halorubrum lacusprofundi ATCC 49239,representative genome,GCF_000022205.1,
GCA_000022365.1,ASM2236v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/365/GCA_000022365.1_ASM2236v1,GCA_000022365.1,Complete Genome,ASM2236v1,PRJNA224116,SAMN02603333,GCA_000022365.1,full,Thermococcus gammatolerans EJ3,na,GCF_000022365.1,
GCA_000022385.1,ASM2238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/385/GCA_000022385.1_ASM2238v1,GCA_000022385.1,Complete Genome,ASM2238v1,PRJNA224116,SAMN02598420,GCA_000022385.1,full,Sulfolobus islandicus L.S.2.15,representative genome,GCF_000022385.1,
GCA_000022545.1,ASM2254v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/545/GCA_000022545.1_ASM2254v1,GCA_000022545.1,Complete Genome,ASM2254v1,PRJNA224116,SAMN02603090,GCA_000022545.1,full,Thermococcus sibiricus MM 739,representative genome,GCF_000022545.1,
GCA_000023945.1,ASM2394v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/945/GCA_000023945.1_ASM2394v1,GCA_000023945.1,Complete Genome,ASM2394v1,PRJNA224116,SAMN00002611,GCA_000023945.1,full,Halorhabdus utahensis DSM 12940,representative genome,GCF_000023945.1,
GCA_000023965.1,ASM2396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,GCA_000023965.1,Complete Genome,ASM2396v1,PRJNA224116,SAMN00002610,GCA_000023965.1,full,Halomicrobium mukohataei DSM 12286,representative genome,GCF_000023965.1,
GCA_000023985.1,ASM2398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1,GCA_000023985.1,Complete Genome,ASM2398v1,PRJNA224116,SAMN02598490,GCA_000023985.1,full,Methanocaldococcus fervens AG86,representative genome,GCF_000023985.1,
GCA_000024185.1,ASM2418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,GCA_000024185.1,Complete Genome,ASM2418v1,PRJNA224116,SAMN02603710,GCA_000024185.1,full,Methanobrevibacter ruminantium M1,representative genome,GCF_000024185.1,
GCA_000024625.1,ASM2462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1,GCA_000024625.1,Complete Genome,ASM2462v1,PRJNA224116,SAMN02598493,GCA_000024625.1,full,Methanocaldococcus vulcanius M7,representative genome,GCF_000024625.1,
GCA_000025285.1,ASM2528v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1,GCA_000025285.1,Complete Genome,ASM2528v1,PRJNA224116,SAMN00017459,GCA_000025285.1,full,Archaeoglobus profundus DSM 5631,representative genome,GCF_000025285.1,
GCA_000025325.1,ASM2532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1,GCA_000025325.1,Complete Genome,ASM2532v1,PRJNA224116,SAMN02598471,GCA_000025325.1,full,Haloterrigena turkmenica DSM 5511,representative genome,GCF_000025325.1,
GCA_000025505.1,ASM2550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,GCA_000025505.1,Complete Genome,ASM2550v1,PRJNA224116,SAMN02598503,GCA_000025505.1,full,Ferroglobus placidus DSM 10642,representative genome,GCF_000025505.1,
GCA_000025525.1,ASM2552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/525/GCA_000025525.1_ASM2552v1,GCA_000025525.1,Complete Genome,ASM2552v1,PRJNA224116,SAMN02598520,GCA_000025525.1,full,Methanocaldococcus sp. FS406-22,na,GCF_000025525.1,
GCA_000025625.1,ASM2562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/625/GCA_000025625.1_ASM2562v1,GCA_000025625.1,Complete Genome,ASM2562v1,PRJNA224116,SAMN02598473,GCA_000025625.1,full,Natrialba magadii ATCC 43099,representative genome,GCF_000025625.1,
GCA_000025665.1,ASM2566v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1,GCA_000025665.1,Complete Genome,ASM2566v1,PRJNA224116,SAMN02598523,GCA_000025665.1,full,Aciduliprofundum boonei T469,representative genome,GCF_000025665.1,
GCA_000025685.1,ASM2568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,GCA_000025685.1,Complete Genome,ASM2568v1,PRJNA224116,SAMN02604027,GCA_000025685.1,full,Haloferax volcanii DS2,representative genome,GCF_000025685.1,
GCA_000025865.1,ASM2586v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1,GCA_000025865.1,Complete Genome,ASM2586v1,PRJNA224116,SAMN02598474,GCA_000025865.1,full,Methanohalophilus mahii DSM 5219,representative genome,GCF_000025865.1,
GCA_000026045.1,ASM2604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/045/GCA_000026045.1_ASM2604v1,GCA_000026045.1,Complete Genome,ASM2604v1,PRJNA224116,SAMEA3138222,GCA_000026045.1,full,Natronomonas pharaonis DSM 2160,representative genome,GCF_000026045.1,
GCA_000063445.1,ASM6344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/445/GCA_000063445.1_ASM6344v1,GCA_000063445.1,Complete Genome,ASM6344v1,PRJNA224116,SAMEA3138262,GCA_000063445.1,full,Methanocella arvoryzae MRE50,representative genome,GCF_000063445.1,
GCA_000091665.1,ASM9166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1,GCA_000091665.1,Complete Genome,ASM9166v1,PRJNA224116,SAMN02603984,GCA_000091665.1,full,Methanocaldococcus jannaschii DSM 2661,representative genome,GCF_000091665.1,
GCA_000092185.1,ASM9218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1,GCA_000092185.1,Complete Genome,ASM9218v1,PRJNA224116,SAMN02598509,GCA_000092185.1,full,Thermosphaera aggregans DSM 11486,na,GCF_000092185.1,
GCA_000092305.1,ASM9230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1,GCA_000092305.1,Complete Genome,ASM9230v1,PRJNA224116,SAMN00017484,GCA_000092305.1,full,Methanocaldococcus infernus ME,representative genome,GCF_000092305.1,
GCA_000092465.1,ASM9246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1,GCA_000092465.1,Complete Genome,ASM9246v1,PRJNA224116,SAMN00002730,GCA_000092465.1,full,Staphylothermus hellenicus DSM 12710,na,GCF_000092465.1,
GCA_000144915.1,ASM14491v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/915/GCA_000144915.1_ASM14491v1,GCA_000144915.1,Complete Genome,ASM14491v1,PRJNA224116,SAMN02603091,GCA_000144915.1,full,Acidilobus saccharovorans 345-15,representative genome,GCF_000144915.1,
GCA_000145295.1,ASM14529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/295/GCA_000145295.1_ASM14529v1,GCA_000145295.1,Complete Genome,ASM14529v1,PRJNA224116,SAMN02603260,GCA_000145295.1,full,Methanothermobacter marburgensis str. Marburg,representative genome,GCF_000145295.1,
GCA_000145985.1,ASM14598v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1,GCA_000145985.1,Complete Genome,ASM14598v1,PRJNA33361,SAMN00016987,GCA_000145985.1,full,Ignisphaera aggregans DSM 17230,na,GCA_000145985.1,
GCA_000147875.1,ASM14787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1,GCA_000147875.1,Complete Genome,ASM14787v1,PRJNA224116,SAMN00017400,GCA_000147875.1,full,Methanolacinia petrolearia DSM 11571,representative genome,GCF_000147875.1,
GCA_000148385.1,ASM14838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/385/GCA_000148385.1_ASM14838v1,GCA_000148385.1,Complete Genome,ASM14838v1,PRJNA224116,SAMN00017002,GCA_000148385.1,full,Vulcanisaeta distributa DSM 14429,na,GCF_000148385.1,
GCA_000151105.2,ASM15110v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2,GCA_000151105.2,Complete Genome,ASM15110v2,PRJNA224116,SAMN02603625,GCA_000151105.2,full,Thermococcus barophilus MP,representative genome,GCF_000151105.2,
GCA_000151205.2,ASM15120v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/205/GCA_000151205.2_ASM15120v2,GCA_000151205.2,Complete Genome,ASM15120v2,PRJNA224116,SAMN02603626,GCA_000151205.2,full,Thermococcus sp. AM4,na,GCF_000151205.2,
GCA_000152265.2,ASM15226v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2,GCA_000152265.2,Complete Genome,ASM15226v2,PRJNA224116,SAMN02604346,GCA_000152265.2,full,Ferroplasma acidarmanus fer1,representative genome,GCF_000152265.2,
GCA_000166095.1,ASM16609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1,GCA_000166095.1,Complete Genome,ASM16609v1,PRJNA224116,SAMN02232040,GCA_000166095.1,full,Methanothermus fervidus DSM 2088,representative genome,GCF_000166095.1,
GCA_000172995.2,ASM17299v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2,GCA_000172995.2,Complete Genome,ASM17299v2,PRJNA224116,SAMN00002580,GCA_000172995.2,full,Halogeometricum borinquense DSM 11551,representative genome,GCF_000172995.2,
GCA_000179575.2,ASM17957v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/575/GCA_000179575.2_ASM17957v2,GCA_000179575.2,Complete Genome,ASM17957v2,PRJNA224116,SAMN00100784,GCA_000179575.2,full,Methanothermococcus okinawensis IH1,representative genome,GCF_000179575.2,
GCA_000186365.1,ASM18636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,GCA_000186365.1,Complete Genome,ASM18636v1,PRJNA224116,SAMN00103627,GCA_000186365.1,full,Desulfurococcus mucosus DSM 2162,representative genome,GCF_000186365.1,
GCA_000190315.1,ASM19031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/315/GCA_000190315.1_ASM19031v1,GCA_000190315.1,Complete Genome,ASM19031v1,PRJNA224116,SAMN02603092,GCA_000190315.1,full,Vulcanisaeta moutnovskia 768-28,representative genome,GCF_000190315.1,
GCA_000191585.1,ASM19158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/585/GCA_000191585.1_ASM19158v1,GCA_000191585.1,Complete Genome,ASM19158v1,PRJNA224116,SAMN02232037,GCA_000191585.1,full,Methanobacterium lacus,representative genome,GCF_000191585.1,
GCA_000193375.1,ASM19337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/375/GCA_000193375.1_ASM19337v1,GCA_000193375.1,Complete Genome,ASM19337v1,PRJNA224116,SAMN02603093,GCA_000193375.1,full,Thermoproteus uzoniensis 768-20,na,GCF_000193375.1,
GCA_000194625.1,ASM19462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,GCA_000194625.1,Complete Genome,ASM19462v1,PRJNA224116,SAMN00713598,GCA_000194625.1,full,Archaeoglobus veneficus SNP6,representative genome,GCF_000194625.1,
GCA_000195895.1,ASM19589v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/895/GCA_000195895.1_ASM19589v1,GCA_000195895.1,Complete Genome,ASM19589v1,PRJNA224116,SAMN02598252,GCA_000195895.1,full,Methanosarcina barkeri str. Fusaro,na,GCF_000195895.1,
GCA_000195915.1,ASM19591v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/915/GCA_000195915.1_ASM19591v1,GCA_000195915.1,Complete Genome,ASM19591v1,PRJNA224116,SAMEA3138325,GCA_000195915.1,full,Thermoplasma acidophilum DSM 1728,representative genome,GCF_000195915.1,
