ncbi_genbank_assembly_accession,ncbi_assembly_name,ncbi_biosample,ncbi_organism_name,parsed_genome_accession,dataset
GCA_900016865.1,Clostridia bin genome 5,SAMEA3730008,uncultured Clostridia bacterium,GCA_900016865.1,train
GCA_002426645.1,ASM242664v1,SAMN06456060,Firmicutes bacterium UBA5435,GCA_002426645.1,train
GCA_002409975.1,ASM240997v1,SAMN06457189,Firmicutes bacterium UBA5388,GCA_002409975.1,train
none,none,none,none,GCA_003501365.1,train
GCA_002399265.1,ASM239926v1,SAMN06451269,Firmicutes bacterium UBA4882,GCA_002399265.1,train
GCA_003023745.1,ASM302374v1,SAMN08683245,Sulfobacillus acidophilus,GCA_003023745.1,train
GCA_003242675.1,ASM324267v1,SAMN09092795,Firmicutes bacterium,GCA_003242675.1,train
GCA_003242195.1,ASM324219v1,SAMN09092809,Firmicutes bacterium,GCA_003242195.1,train
GCA_001513185.1,ASM151318v1,SAMN03777427,Clostridia bacterium DTU015,GCA_001513185.1,train
none,none,none,none,GCA_003449495.1,train
GCA_002376005.1,ASM237600v1,SAMN06455815,Firmicutes bacterium UBA3570,GCA_002376005.1,train
GCA_002291985.1,ASM229198v1,SAMN06452149,Firmicutes bacterium UBA995,GCA_002291985.1,train
none,none,none,none,GCA_003541445.1,train
GCA_002375895.1,ASM237589v1,SAMN06455821,Firmicutes bacterium UBA3576,GCA_002375895.1,train
GCA_002375925.1,ASM237592v1,SAMN06455820,Firmicutes bacterium UBA3575,GCA_002375925.1,train
GCA_001513125.1,ASM151312v1,SAMN03778954,Clostridia bacterium DTU030,GCA_001513125.1,train
GCA_002319815.1,ASM231981v1,SAMN06455217,Megamonas sp. UBA1799,GCA_002319815.1,train
GCA_000271665.2,ASM27166v2,SAMN00996448,Pelosinus fermentans JBW45,GCF_000271665.2,train
GCA_001941975.1,ASM194197v1,SAMN04455154,Sporomusa sphaeroides DSM 2875,GCF_001941975.1,train
GCA_000430605.1,ASM43060v1,SAMN02441147,Anaeroarcus burkinensis DSM 6283,GCF_000430605.1,train
GCA_002329525.1,ASM232952v1,SAMN06456298,Negativicutes bacterium UBA1444,GCA_002329525.1,train
GCA_002411145.1,ASM241114v1,SAMN06450541,Firmicutes bacterium UBA5324,GCA_002411145.1,train
GCA_000188175.1,ASM18817v1,SAMN00189153,Phascolarctobacterium succinatutens YIT 12067,GCF_000188175.1,train
GCA_000024945.1,ASM2494v1,SAMN00002609,Veillonella parvula DSM 2008,GCF_000024945.1,train
GCA_002413075.1,ASM241307v1,SAMN06453572,Desulfosporosinus sp. UBA5188,GCA_002413075.1,train
GCA_000019165.1,ASM1916v1,SAMN02602985,Heliobacterium modesticaldum Ice1,GCF_000019165.1,train
GCA_002407935.1,ASM240793v1,SAMN06451884,Peptococcaceae bacterium UBA5356,GCA_002407935.1,train
GCA_000802045.1,ASM80204v1,SAMN02953438,Peptococcaceae bacterium BICA1-8,GCA_000802045.1,train
GCA_002995755.1,ASM299575v1,SAMN08638828,Moorella humiferrea,GCF_002995755.1,train
GCA_002339345.1,ASM233934v1,SAMN06451498,Firmicutes bacterium UBA2598,GCA_002339345.1,train
GCA_002352935.1,ASM235293v1,SAMN06453997,Firmicutes bacterium UBA1874,GCA_002352935.1,train
GCA_002207765.1,ASM220776v1,SAMD00053944,Calderihabitans maritimus,GCF_002207765.1,train
GCA_001508005.1,ASM150800v1,SAMN03445125,Clostridia bacterium 41_269,GCA_001508005.1,train
GCA_000620305.1,ASM62030v1,SAMN02953000,Desulfitibacter alkalitolerans DSM 16504,GCF_000620305.1,train
GCA_002419055.1,ASM241905v1,SAMN06454540,Peptococcaceae bacterium UBA5752,GCA_002419055.1,train
GCA_002482535.1,ASM248253v1,SAMN06451210,Peptococcaceae bacterium UBA7702,GCA_002482535.1,train
GCA_002224645.1,ASM222464v1,SAMN07259296,Dehalobacterium formicoaceticum,GCF_002224645.1,train
GCA_001584725.1,ASM158472v1,SAMN04506047,endosymbiont 'TC1' of Trimyema compressum,GCF_001584725.1,train
GCA_002408445.1,ASM240844v1,SAMN06451252,Syntrophomonas sp. UBA5288,GCA_002408445.1,train
GCA_002426495.1,ASM242649v1,SAMN06454328,Thermacetogenium sp. UBA5472,GCA_002426495.1,train
none,none,none,none,GCA_003457075.1,train
GCA_002375985.1,ASM237598v1,SAMN06455817,Firmicutes bacterium UBA3572,GCA_002375985.1,train
GCA_001950255.1,ASM195025v1,SAMD00066805,Carboxydothermus pertinax,GCF_001950255.1,train
GCA_002840275.1,ASM284027v1,SAMN06767694,Firmicutes bacterium HGW-Firmicutes-14,GCA_002840275.1,train
GCA_003054495.1,ASM305449v1,SAMN07757920,Carboxydocella thermautotrophica,GCF_003054495.1,train
GCA_003070825.1,ASM307082v1,SAMN07462252,Halanaerobium sp.,GCA_003070825.1,train
GCA_001693735.1,ASM169373v1,SAMN04623222,Orenia metallireducens,GCF_001693735.1,train
GCA_001579665.1,ASM157966v1,SAMN04325048,Streptococcus mitis,GCA_001579665.1,train
GCA_001274915.1,ASM127491v1,SAMN03999407,Bacillus okuhidensis,GCF_001274915.1,train
GCA_000702605.1,ASM70260v1,SAMN02841153,Exiguobacterium acetylicum DSM 20416,GCF_000702605.1,train
GCA_001278945.1,ASM127894v1,SAMN03835250,Lysinibacillus contaminans,GCF_001278945.1,train
GCA_900142805.1,IMG-taxon 2582580728 annotated assembly,SAMN02745189,Salinicoccus alkaliphilus DSM 16010,GCF_900142805.1,train
GCA_000011445.1,ASM1144v1,SAMEA3138208,Mycoplasma mycoides subsp. mycoides SC str. PG1,GCF_000011445.1,train
GCA_002297045.1,ASM229704v1,SAMN06451161,Bacillales bacterium UBA784,GCA_002297045.1,train
GCA_900314505.1,Rumen uncultured genome hRUG912,SAMEA104666316,uncultured bacterium,GCA_900314505.1,train
GCA_000433675.1,MGS433,SAMEA3138571,Clostridium sp. CAG:433,GCA_000433675.1,train
GCA_002422135.1,ASM242213v1,SAMN06454855,Acholeplasmataceae bacterium UBA6181,GCA_002422135.1,train
GCA_002345425.1,ASM234542v1,SAMN06457350,Bacillales bacterium UBA2298,GCA_002345425.1,train
GCA_900317575.1,Rumen uncultured genome RUG293,SAMEA104666785,uncultured Firmicutes bacterium,GCA_900317575.1,train
GCA_000178255.1,ASM17825v1,SAMN00007491,Turicibacter sanguinis PC909,GCF_000178255.1,train
GCA_000798955.1,ZOR0006.1,SAMN03021522,Firmicutes bacterium ZOR0006,GCF_000798955.1,train
GCA_003246855.1,ASM324685v1,SAMN09287975,Ilyobacter polytropus,GCA_003246855.1,train
GCA_002313635.1,ASM231363v1,SAMN06457031,Fusobacteriia bacterium UBA1095,GCA_002313635.1,train
GCA_003281255.1,ASM328125v1,SAMN08886166,Prochlorococcus sp. AG-347-L02,GCA_003281255.1,train
GCA_000829235.1,ASM82923v1,SAMD00061037,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,GCF_000829235.1,train
GCA_001650195.1,ASM165019v1,SAMN05003984,Phormidesmis priestleyi BC1401,GCF_001650195.1,train
GCA_001939115.1,ASM193911v1,SAMN06074267,Leptolyngbya sp. 'hensonii',GCF_001939115.1,train
GCA_003003615.1,ASM300361v1,SAMN08617412,filamentous cyanobacterium CCP2,GCF_003003615.1,train
GCA_000317045.1,ASM31704v1,SAMN02261348,Geitlerinema sp. PCC 7407,GCF_000317045.1,train
GCA_002075285.2,ASM207528v2,SAMN03466112,Halomicronema hongdechloris C2206,GCF_002075285.2,train
GCA_000238775.2,ASM23877v2,SAMN00016772,Acaryochloris sp. CCMEE 5410,GCF_000238775.1,train
GCA_001913845.1,ASM191384v1,SAMN05468010,Limnothrix sp. CACIAM 69d,GCA_001913845.1,train
GCA_001870225.1,ASM187022v1,SAMN05853575,Gloeomargarita lithophora Alchichica-D10,GCF_001870225.1,train
GCA_001402795.1,ASM140279v1,SAMN03854406,Pseudanabaena sp. 'Roaring Creek',GCF_001402795.1,train
GCA_000013205.1,ASM1320v1,SAMN02604048,Synechococcus sp. JA-3-3Ab,GCF_000013205.1,train
GCA_000011385.1,ASM1138v1,SAMD00061120,Gloeobacter violaceus PCC 7421,GCF_000011385.1,train
GCA_900313795.1,Rumen uncultured genome RUG841,SAMEA104666323,uncultured bacterium,GCA_900313795.1,train
GCA_003149375.1,ASM314937v1,SAMN09087149,Vampirovibrio chlorellavorus,GCA_003149375.1,train
GCA_003151275.1,20120700_P3D,SAMN08179908,Candidatus Melainabacteria bacterium,GCA_003151275.1,train
GCA_001784585.1,ASM178458v1,SAMN04316056,Candidatus Melainabacteria bacterium RIFCSPLOWO2_02_FULL_35_15,GCA_001784585.1,train
GCA_002083825.1,ASM208382v1,SAMN05981169,Candidatus Sericytochromatia bacterium S15B-MN24 CBMW_12,GCA_002083825.1,train
GCA_002783405.1,ASM278340v1,SAMN06659569,bacterium (Candidatus Blackallbacteria) CG13_big_fil_rev_8_21_14_2_50_49_14,GCA_002783405.1,train
GCA_001771575.1,ASM177157v1,SAMN04316221,candidate division WOR-1 bacterium RIFOXYB2_FULL_45_9,GCA_001771575.1,train
GCA_001771585.1,ASM177158v1,SAMN04314413,candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45,GCA_001771585.1,train
GCA_002716725.1,ASM271672v1,SAMN07618403,bacterium,GCA_002716725.1,train
GCA_002433595.1,ASM243359v1,SAMN06451400,bacterium UBP8_UBA6595,GCA_002433595.1,train
GCA_003242895.1,ASM324289v1,SAMN09222456,Candidatus Margulisbacteria bacterium,GCA_003242895.1,train
GCA_001783275.1,ASM178327v1,SAMN04313961,Candidatus Margulisbacteria bacterium GWF2_35_9,GCA_001783275.1,train
GCA_000308475.2,ASM30847v2,SAMD00016800,Nocardia brasiliensis NBRC 14402,GCF_000308475.2,train
GCA_001983105.1,ASM198310v1,SAMN04851310,Frankia asymbiotica,GCF_001983105.1,train
GCA_000511135.2,Mb_MiSeq_454_130116,SAMN02597373,Microbispora sp. ATCC PTA-5024,GCF_000511135.2,train
GCA_000015025.1,ASM1502v1,SAMN02598358,Acidothermus cellulolyticus 11B,GCF_000015025.1,train
GCA_001418325.1,ASM141832v1,SAMN04002960,Streptomyces atriruber,GCF_001418325.1,train
GCA_000384115.1,ASM38411v1,SAMN02261321,Sporichthya polymorpha DSM 43042,GCF_000384115.1,train
GCA_900155645.1,Propionibacterium massiliense,SAMEA48205918,Propionimicrobium sp. Marseille-P3275,GCF_900155645.1,train
GCA_003014555.1,ASM301455v1,SAMN07621254,Haloactinopolyspora alba,GCF_003014555.1,train
GCA_002737125.1,ASM273712v1,SAMN07460815,Actinobacteria bacterium,GCA_002737125.1,train
GCA_003074135.1,ASM307413v1,SAMN08366825,Euzebya tangerina,GCA_003074135.1,train
GCA_000969705.1,ASM96970v1,SAMN02745916,Nitriliruptor alkaliphilus DSM 45188,GCF_000969705.1,train
GCA_002898915.1,ASM289891v1,SAMD00093762,bacterium HR12,GCA_002898915.1,train
GCA_002403895.1,ASM240389v1,SAMN06456040,Candidatus Microthrix sp. UBA4742,GCA_002403895.1,train
GCA_000949295.1,ASM94929v1,SAMN03301760,Acidithrix ferrooxidans,GCF_000949295.1,train
GCA_003140175.1,20110800_P2D,SAMN08179136,Actinobacteria bacterium,GCA_003140175.1,train
GCA_002352645.1,ASM235264v1,SAMN06454303,Acidimicrobiia bacterium UBA2766,GCA_002352645.1,train
GCA_003242515.1,ASM324251v1,SAMN09092807,Actinobacteria bacterium,GCA_003242515.1,train
GCA_003282445.1,ASM328244v1,SAMN08886063,OCS155 cluster bacterium AG-333-G23,GCA_003282445.1,train
GCA_003165655.1,20110600_P3S,SAMN08178798,Solirubrobacterales bacterium,GCA_003165655.1,train
GCA_001464275.1,Actinobacteria bacterium Ga0077560,SAMN04254531,Actinobacteria bacterium Ga0077560,GCA_001464275.1,train
GCA_003136795.1,20111000_P2D,SAMN08179284,Actinobacteria bacterium,GCA_003136795.1,train
GCA_002347645.1,ASM234764v1,SAMN06452690,Thermoleophilia bacterium UBA2241,GCA_002347645.1,train
GCA_001768675.1,ASM176867v1,SAMN04314254,Actinobacteria bacterium RBG_16_64_13,GCA_001768675.1,train
GCA_002897715.1,ASM289771v1,SAMD00081361,bacterium BMS3Abin01,GCA_002897715.1,train
GCA_900175965.1,IMG-taxon 2505679031 annotated assembly,SAMN00767673,Rubrobacter radiotolerans DSM 5868,GCF_900175965.1,train
GCA_000236865.1,ASM23686v1,SAMEA2272806,Senegalimassilia anaerobia JC110,GCF_000236865.1,train
GCA_002841355.1,ASM284135v1,SAMN06767545,Actinobacteria bacterium HGW-Actinobacteria-1,GCA_002841355.1,train
GCA_001871795.1,ASM187179v1,SAMN04328288,Actinobacteria bacterium CG2_30_50_142,GCA_001871795.1,train
GCA_002339355.1,ASM233935v1,SAMN06451490,Actinobacteria bacterium UBA2594,GCA_002339355.1,train
GCA_002304935.1,ASM230493v1,SAMN06452089,Actinobacteria bacterium UBA1414,GCA_002304935.1,train
GCA_003157385.1,20120600_E2D,SAMN08179582,Actinobacteria bacterium,GCA_003157385.1,train
GCA_001768645.1,ASM176864v1,SAMN04313996,Actinobacteria bacterium RBG_13_55_18,GCA_001768645.1,train
GCA_003167055.1,20110700_P2S,SAMN08178936,candidate division WPS-2 bacterium,GCA_003167055.1,train
GCA_003244105.1,ASM324410v1,SAMN09209454,candidate division WPS-2 bacterium,GCA_003244105.1,train
GCA_002329445.1,ASM232944v1,SAMN06453843,bacterium UBP9_UBA1432,GCA_002329445.1,train
GCA_001443485.1,ASM144348v1,SAMN03462097,Armatimonadetes bacterium CSP1-3,GCA_001443485.1,train
GCA_002343445.1,ASM234344v1,SAMN06451926,Chthonomonas sp. UBA2387,GCA_002343445.1,train
GCA_002254605.1,ASM225460v1,SAMN07230129,Armatimonadetes bacterium JP3_11,GCA_002254605.1,train
GCA_002898895.1,ASM289889v1,SAMD00093766,bacterium HR16,GCA_002898895.1,train
GCA_000427095.1,T49,SAMEA2272150,Chthonomonas calidirosea T49,GCF_000427095.1,train
GCA_002431715.1,ASM243171v1,SAMN06453966,Armatimonadetes bacterium UBA5829,GCA_002431715.1,train
GCA_003134215.1,20111000_S2S,SAMN08179378,Armatimonadetes bacterium,GCA_003134215.1,train
GCA_002779825.1,ASM277982v1,SAMN06659214,Armatimonadetes bacterium CG06_land_8_20_14_3_00_66_21,GCA_002779825.1,train
GCA_002973605.1,ASM297360v1,SAMN07179262,Abditibacterium utsteinense,GCF_002973605.1,train
GCA_002898575.1,ASM289857v1,SAMD00093767,bacterium HR17,GCA_002898575.1,train
GCA_002409445.1,ASM240944v1,SAMN06456318,Armatimonadetes bacterium UBA5419,GCA_002409445.1,train
none,none,none,none,GCA_003542955.1,train
GCA_002305165.1,ASM230516v1,SAMN06452367,Armatimonadetes bacterium UBA1398,GCA_002305165.1,train
GCA_002410925.1,ASM241092v1,SAMN06451889,bacterium UBP13_UBA5359,GCA_002410925.1,train
GCA_002778575.1,ASM277857v1,SAMN06659366,Candidatus Kaiserbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_49_17,GCA_002778575.1,train
GCA_003021915.1,ASM302191v1,SAMN06020711,Parcubacteria group bacterium SW_4_49_11,GCA_003021915.1,train
GCA_001778985.1,ASM177898v1,SAMN04314766,Candidatus Giovannonibacteria bacterium RIFOXYD1_FULL_48_21,GCA_001778985.1,train
GCA_002792165.1,ASM279216v1,SAMN06659772,Candidatus Tagabacteria bacterium CG_4_10_14_0_2_um_filter_40_13,GCA_002792165.1,train
GCA_001778595.1,ASM177859v1,SAMN04315426,Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_44_11,GCA_001778595.1,train
GCA_001819875.1,ASM181987v1,SAMN04315437,Candidatus Ryanbacteria bacterium RIFCSPHIGHO2_02_FULL_48_12,GCA_001819875.1,train
GCA_001820685.1,ASM182068v1,SAMN04315181,Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_47_32,GCA_001820685.1,train
GCA_001794015.1,ASM179401v1,SAMN04314970,Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_39_8b,GCA_001794015.1,train
GCA_002898235.1,ASM289823v1,SAMD00093785,bacterium HR35,GCA_002898235.1,train
GCA_000994805.1,ASM99480v1,SAMN03319677,Candidatus Azambacteria bacterium GW2011_GWA2_42_9,GCA_000994805.1,train
GCA_001825035.1,ASM182503v1,SAMN04314717,Candidatus Wildermuthbacteria bacterium RIFOXYD1_FULL_50_12,GCA_001825035.1,train
GCA_002792395.1,ASM279239v1,SAMN06659761,Candidatus Portnoybacteria bacterium CG_4_10_14_0_2_um_filter_44_20,GCA_002792395.1,train
GCA_001824745.1,ASM182474v1,SAMN04315144,Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_58_14,GCA_001824745.1,train
GCA_001824325.1,ASM182432v1,SAMN04314819,Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_47_10b,GCA_001824325.1,train
GCA_001819985.1,ASM181998v1,SAMN04315349,Candidatus Spechtbacteria bacterium RIFCSPHIGHO2_02_FULL_43_15b,GCA_001819985.1,train
GCA_000992445.2,ASM99244v2,SAMN03319405,Parcubacteria group bacterium GW2011_GWA2_38_13b,GCA_000992445.2,train
GCA_003056085.1,ASM305608v1,SAMN04448854,Parcubacteria group bacterium M6-OD1-1,GCA_003056085.1,train
GCA_003056145.1,ASM305614v1,SAMN04448858,Parcubacteria group bacterium M10-OD1-1,GCA_003056145.1,train
GCA_002792135.1,ASM279213v1,SAMN06659773,bacterium (Candidatus Torokbacteria) CG_4_10_14_0_2_um_filter_35_8,GCA_002792135.1,train
GCA_001783215.1,ASM178321v1,SAMN04314716,Candidatus Magasanikbacteria bacterium RIFOXYD1_FULL_40_23,GCA_001783215.1,train
GCA_002688135.1,ASM268813v1,SAMN07619596,Parcubacteria group bacterium,GCA_002688135.1,train
GCA_001001705.1,ASM100170v1,SAMN03319929,Parcubacteria group bacterium GW2011_GWA2_47_26,GCA_001001705.1,train
GCA_001791425.1,ASM179142v1,SAMN04316028,Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_48_12,GCA_001791425.1,train
GCA_002774425.1,ASM277442v1,SAMN06659288,Parcubacteria group bacterium CG08_land_8_20_14_0_20_48_21,GCA_002774425.1,train
GCA_002840305.1,ASM284030v1,SAMN06767687,Candidatus Falkowbacteria bacterium HGW-Falkowbacteria-1,GCA_002840305.1,train
GCA_002773845.1,ASM277384v1,SAMN06659330,Candidatus Buchananbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_9,GCA_002773845.1,train
GCA_002773615.1,ASM277361v1,SAMN06659346,Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_39_11,GCA_002773615.1,train
GCA_001778095.1,ASM177809v1,SAMN04314378,Candidatus Falkowbacteria bacterium RIFOXYA2_FULL_38_12,GCA_001778095.1,train
GCA_002402995.1,ASM240299v1,SAMN06455480,Patescibacteria group bacterium UBA4787,GCA_002402995.1,train
GCA_001818495.1,ASM181849v1,SAMN04314764,Candidatus Komeilibacteria bacterium RIFOXYD1_FULL_37_29,GCA_001818495.1,train
GCA_000995845.1,ASM99584v1,SAMN03319686,Parcubacteria group bacterium GW2011_GWD2_43_10,GCA_000995845.1,train
GCA_002328025.1,ASM232802v1,SAMN06456285,Patescibacteria group bacterium UBA2196,GCA_002328025.1,train
GCA_001791465.1,ASM179146v1,SAMN04316030,Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_49_11,GCA_001791465.1,train
GCA_002687895.1,ASM268789v1,SAMN07618377,bacterium,GCA_002687895.1,train
GCA_001818235.1,ASM181823v1,SAMN04314416,Candidatus Jacksonbacteria bacterium RIFOXYB2_FULL_44_15,GCA_001818235.1,train
GCA_000999025.1,ASM99902v1,SAMN03319699,Parcubacteria group bacterium GW2011_GWA2_43_13,GCA_000999025.1,train
GCA_001818355.1,ASM181835v1,SAMN04314579,Candidatus Kerfeldbacteria bacterium RIFOXYC2_FULL_38_9,GCA_001818355.1,train
GCA_002774575.1,ASM277457v1,SAMN06659275,Candidatus Kerfeldbacteria bacterium CG08_land_8_20_14_0_20_43_14,GCA_002774575.1,train
GCA_002773695.1,ASM277369v1,SAMN06659340,Candidatus Doudnabacteria bacterium CG10_big_fil_rev_8_21_14_0_10_41_10,GCA_002773695.1,train
GCA_002686445.1,ASM268644v1,SAMN07618373,bacterium,GCA_002686445.1,train
GCA_002787035.1,ASM278703v1,SAMN06659532,Candidatus Peregrinibacteria bacterium CG11_big_fil_rev_8_21_14_0_20_49_14,GCA_002787035.1,train
GCA_002747745.1,ASM274774v1,SAMN07757569,bacterium DOLZORAL124_38_8,GCA_002747745.1,train
GCA_003154375.1,20120700_E2X,SAMN08179746,Candidatus Peregrinibacteria bacterium,GCA_003154375.1,train
GCA_002401425.1,ASM240142v1,SAMN07568940,Candidatus Peregrinibacteria bacterium,GCA_002401425.1,train
GCA_002788755.1,ASM278875v1,SAMN06659995,Candidatus Peregrinibacteria bacterium CG_4_9_14_0_2_um_filter_41_14,GCA_002788755.1,train
GCA_001773455.1,ASM177345v1,SAMN04313702,Candidatus Abawacabacteria bacterium RBG_16_42_10,GCA_001773455.1,train
GCA_002783265.1,ASM278326v1,SAMN06659595,Candidatus Gracilibacteria bacterium CG17_big_fil_post_rev_8_21_14_2_50_48_13,GCA_002783265.1,train
GCA_001873165.1,ASM187316v1,SAMN04328266,Candidatus Gracilibacteria bacterium CG2_30_37_12,GCA_001873165.1,train
GCA_001007975.1,ASM100797v1,SAMN03486750,candidate division SR1 bacterium Aalborg_AAW-1,GCA_001007975.1,train
GCA_002793885.1,ASM279388v1,SAMN06659440,Candidatus Saccharibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_47_8,GCA_002793885.1,train
GCA_002429485.1,ASM242948v1,SAMN06455896,Patescibacteria group bacterium UBA6017,GCA_002429485.1,train
GCA_001872945.1,ASM187294v1,SAMN04328267,bacterium CG2_30_37_16,GCA_001872945.1,train
