ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM1576v1,GCA_000015765.1,PRJNA224116,SAMN00623052,Complete Genome,Methanocorpusculum labreanum Z,representative genome,full,GCF_000015765.1,GCA_000015765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/765/GCA_000015765.1_ASM1576v1,ASM1576v1
ASM1580v1,GCA_000015805.1,PRJNA18111,SAMN00623060,Complete Genome,Pyrobaculum calidifontis JCM 11548,na,full,GCA_000015805.1,GCA_000015805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/805/GCA_000015805.1_ASM1580v1,ASM1580v1
ASM1582v1,GCA_000015825.1,PRJNA224116,SAMN02598365,Complete Genome,Methanoculleus marisnigri JR1,representative genome,full,GCF_000015825.1,GCA_000015825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/825/GCA_000015825.1_ASM1582v1,ASM1582v1
ASM1594v1,GCA_000015945.1,PRJNA224116,SAMN02598390,Complete Genome,Staphylothermus marinus F1,na,full,GCF_000015945.1,GCA_000015945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/945/GCA_000015945.1_ASM1594v1,ASM1594v1
ASM1612v1,GCA_000016125.1,PRJNA224116,SAMN02598397,Complete Genome,Methanococcus maripaludis C5,na,full,GCF_000016125.1,GCA_000016125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1,ASM1612v1
ASM1638v1,GCA_000016385.1,PRJNA15582,SAMN02598330,Complete Genome,Pyrobaculum arsenaticum DSM 13514,na,full,GCA_000016385.1,GCA_000016385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/385/GCA_000016385.1_ASM1638v1,ASM1638v1
ASM1652v1,GCA_000016525.1,PRJNA224116,SAMN02604313,Complete Genome,Methanobrevibacter smithii ATCC 35061,representative genome,full,GCF_000016525.1,GCA_000016525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,ASM1652v1
ASM1660v1,GCA_000016605.1,PRJNA224116,SAMN02598389,Complete Genome,Metallosphaera sedula DSM 5348,representative genome,full,GCF_000016605.1,GCA_000016605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,ASM1660v1
ASM1716v1,GCA_000017165.1,PRJNA224116,SAMN02598403,Complete Genome,Methanococcus vannielii SB,representative genome,full,GCF_000017165.1,GCA_000017165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1,ASM1716v1
ASM1718v1,GCA_000017185.1,PRJNA224116,SAMN00623051,Complete Genome,Methanococcus aeolicus Nankai-3,representative genome,full,GCF_000017185.1,GCA_000017185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/185/GCA_000017185.1_ASM1718v1,ASM1718v1
ASM1722v1,GCA_000017225.1,PRJNA224116,SAMN00000031,Complete Genome,Methanococcus maripaludis C7,representative genome,full,GCF_000017225.1,GCA_000017225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/225/GCA_000017225.1_ASM1722v1,ASM1722v1
ASM1762v1,GCA_000017625.1,PRJNA224116,SAMN02598409,Complete Genome,Methanoregula boonei 6A8,representative genome,full,GCF_000017625.1,GCA_000017625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/625/GCA_000017625.1_ASM1762v1,ASM1762v1
ASM1794v1,GCA_000017945.1,PRJNA224116,SAMN02598324,Complete Genome,Ignicoccus hospitalis KIN4/I,representative genome,full,GCF_000017945.1,GCA_000017945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1,ASM1794v1
ASM1830v1,GCA_000018305.1,PRJNA224116,SAMN00623034,Complete Genome,Caldivirga maquilingensis IC-167,representative genome,full,GCF_000018305.1,GCA_000018305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,ASM1830v1
ASM1836v1,GCA_000018365.1,PRJNA224116,SAMN02603476,Complete Genome,Thermococcus onnurineus NA1,representative genome,full,GCF_000018365.1,GCA_000018365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/365/GCA_000018365.1_ASM1836v1,ASM1836v1
ASM1846v1,GCA_000018465.1,PRJNA19265,SAMN00000032,Complete Genome,Nitrosopumilus maritimus SCM1,na,full,GCA_000018465.1,GCA_000018465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/465/GCA_000018465.1_ASM1846v1,ASM1846v1
ASM1848v1,GCA_000018485.1,PRJNA224116,SAMN02598423,Complete Genome,Methanococcus maripaludis C6,na,full,GCF_000018485.1,GCA_000018485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/485/GCA_000018485.1_ASM1848v1,ASM1848v1
ASM1960v1,GCA_000019605.1,PRJNA224116,SAMN02598368,Complete Genome,Candidatus Korarchaeum cryptofilum OPF8,na,full,GCF_000019605.1,GCA_000019605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/605/GCA_000019605.1_ASM1960v1,ASM1960v1
ASM1980v1,GCA_000019805.1,PRJNA15645,SAMN02598332,Complete Genome,Pyrobaculum neutrophilum V24Sta,na,full,GCA_000019805.1,GCA_000019805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/805/GCA_000019805.1_ASM1980v1,ASM1980v1
ASM2196v1,GCA_000021965.1,PRJNA224116,SAMN00001866,Complete Genome,Methanosphaerula palustris E1-9c,representative genome,full,GCF_000021965.1,GCA_000021965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/965/GCA_000021965.1_ASM2196v1,ASM2196v1
ASM2220v1,GCA_000022205.1,PRJNA224116,SAMN02598407,Complete Genome,Halorubrum lacusprofundi ATCC 49239,representative genome,full,GCF_000022205.1,GCA_000022205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,ASM2220v1
ASM2236v1,GCA_000022365.1,PRJNA224116,SAMN02603333,Complete Genome,Thermococcus gammatolerans EJ3,na,full,GCF_000022365.1,GCA_000022365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/365/GCA_000022365.1_ASM2236v1,ASM2236v1
ASM2238v1,GCA_000022385.1,PRJNA224116,SAMN02598420,Complete Genome,Sulfolobus islandicus L.S.2.15,representative genome,full,GCF_000022385.1,GCA_000022385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/385/GCA_000022385.1_ASM2238v1,ASM2238v1
ASM2254v1,GCA_000022545.1,PRJNA224116,SAMN02603090,Complete Genome,Thermococcus sibiricus MM 739,representative genome,full,GCF_000022545.1,GCA_000022545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/545/GCA_000022545.1_ASM2254v1,ASM2254v1
ASM2394v1,GCA_000023945.1,PRJNA224116,SAMN00002611,Complete Genome,Halorhabdus utahensis DSM 12940,representative genome,full,GCF_000023945.1,GCA_000023945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/945/GCA_000023945.1_ASM2394v1,ASM2394v1
ASM2396v1,GCA_000023965.1,PRJNA224116,SAMN00002610,Complete Genome,Halomicrobium mukohataei DSM 12286,representative genome,full,GCF_000023965.1,GCA_000023965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,ASM2396v1
ASM2398v1,GCA_000023985.1,PRJNA224116,SAMN02598490,Complete Genome,Methanocaldococcus fervens AG86,representative genome,full,GCF_000023985.1,GCA_000023985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1,ASM2398v1
ASM2418v1,GCA_000024185.1,PRJNA224116,SAMN02603710,Complete Genome,Methanobrevibacter ruminantium M1,representative genome,full,GCF_000024185.1,GCA_000024185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,ASM2418v1
ASM2462v1,GCA_000024625.1,PRJNA224116,SAMN02598493,Complete Genome,Methanocaldococcus vulcanius M7,representative genome,full,GCF_000024625.1,GCA_000024625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1,ASM2462v1
ASM2528v1,GCA_000025285.1,PRJNA224116,SAMN00017459,Complete Genome,Archaeoglobus profundus DSM 5631,representative genome,full,GCF_000025285.1,GCA_000025285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1,ASM2528v1
ASM2532v1,GCA_000025325.1,PRJNA224116,SAMN02598471,Complete Genome,Haloterrigena turkmenica DSM 5511,representative genome,full,GCF_000025325.1,GCA_000025325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1,ASM2532v1
ASM2550v1,GCA_000025505.1,PRJNA224116,SAMN02598503,Complete Genome,Ferroglobus placidus DSM 10642,representative genome,full,GCF_000025505.1,GCA_000025505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,ASM2550v1
ASM2552v1,GCA_000025525.1,PRJNA224116,SAMN02598520,Complete Genome,Methanocaldococcus sp. FS406-22,na,full,GCF_000025525.1,GCA_000025525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/525/GCA_000025525.1_ASM2552v1,ASM2552v1
ASM2562v1,GCA_000025625.1,PRJNA224116,SAMN02598473,Complete Genome,Natrialba magadii ATCC 43099,representative genome,full,GCF_000025625.1,GCA_000025625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/625/GCA_000025625.1_ASM2562v1,ASM2562v1
ASM2566v1,GCA_000025665.1,PRJNA224116,SAMN02598523,Complete Genome,Aciduliprofundum boonei T469,representative genome,full,GCF_000025665.1,GCA_000025665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1,ASM2566v1
ASM2568v1,GCA_000025685.1,PRJNA224116,SAMN02604027,Complete Genome,Haloferax volcanii DS2,representative genome,full,GCF_000025685.1,GCA_000025685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,ASM2568v1
ASM2586v1,GCA_000025865.1,PRJNA224116,SAMN02598474,Complete Genome,Methanohalophilus mahii DSM 5219,representative genome,full,GCF_000025865.1,GCA_000025865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1,ASM2586v1
ASM2604v1,GCA_000026045.1,PRJNA224116,SAMEA3138222,Complete Genome,Natronomonas pharaonis DSM 2160,representative genome,full,GCF_000026045.1,GCA_000026045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/045/GCA_000026045.1_ASM2604v1,ASM2604v1
ASM6344v1,GCA_000063445.1,PRJNA224116,SAMEA3138262,Complete Genome,Methanocella arvoryzae MRE50,representative genome,full,GCF_000063445.1,GCA_000063445.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/445/GCA_000063445.1_ASM6344v1,ASM6344v1
ASM9166v1,GCA_000091665.1,PRJNA224116,SAMN02603984,Complete Genome,Methanocaldococcus jannaschii DSM 2661,representative genome,full,GCF_000091665.1,GCA_000091665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1,ASM9166v1
ASM9218v1,GCA_000092185.1,PRJNA224116,SAMN02598509,Complete Genome,Thermosphaera aggregans DSM 11486,na,full,GCF_000092185.1,GCA_000092185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1,ASM9218v1
ASM9230v1,GCA_000092305.1,PRJNA224116,SAMN00017484,Complete Genome,Methanocaldococcus infernus ME,representative genome,full,GCF_000092305.1,GCA_000092305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1,ASM9230v1
ASM9246v1,GCA_000092465.1,PRJNA224116,SAMN00002730,Complete Genome,Staphylothermus hellenicus DSM 12710,na,full,GCF_000092465.1,GCA_000092465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1,ASM9246v1
ASM14491v1,GCA_000144915.1,PRJNA224116,SAMN02603091,Complete Genome,Acidilobus saccharovorans 345-15,representative genome,full,GCF_000144915.1,GCA_000144915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/915/GCA_000144915.1_ASM14491v1,ASM14491v1
ASM14529v1,GCA_000145295.1,PRJNA224116,SAMN02603260,Complete Genome,Methanothermobacter marburgensis str. Marburg,representative genome,full,GCF_000145295.1,GCA_000145295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/295/GCA_000145295.1_ASM14529v1,ASM14529v1
ASM14598v1,GCA_000145985.1,PRJNA33361,SAMN00016987,Complete Genome,Ignisphaera aggregans DSM 17230,na,full,GCA_000145985.1,GCA_000145985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1,ASM14598v1
ASM14787v1,GCA_000147875.1,PRJNA224116,SAMN00017400,Complete Genome,Methanolacinia petrolearia DSM 11571,representative genome,full,GCF_000147875.1,GCA_000147875.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1,ASM14787v1
ASM14838v1,GCA_000148385.1,PRJNA224116,SAMN00017002,Complete Genome,Vulcanisaeta distributa DSM 14429,na,full,GCF_000148385.1,GCA_000148385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/385/GCA_000148385.1_ASM14838v1,ASM14838v1
ASM15110v2,GCA_000151105.2,PRJNA224116,SAMN02603625,Complete Genome,Thermococcus barophilus MP,representative genome,full,GCF_000151105.2,GCA_000151105.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2,ASM15110v2
ASM15120v2,GCA_000151205.2,PRJNA224116,SAMN02603626,Complete Genome,Thermococcus sp. AM4,na,full,GCF_000151205.2,GCA_000151205.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/205/GCA_000151205.2_ASM15120v2,ASM15120v2
ASM15226v2,GCA_000152265.2,PRJNA224116,SAMN02604346,Complete Genome,Ferroplasma acidarmanus fer1,representative genome,full,GCF_000152265.2,GCA_000152265.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2,ASM15226v2
ASM16609v1,GCA_000166095.1,PRJNA224116,SAMN02232040,Complete Genome,Methanothermus fervidus DSM 2088,representative genome,full,GCF_000166095.1,GCA_000166095.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1,ASM16609v1
ASM17299v2,GCA_000172995.2,PRJNA224116,SAMN00002580,Complete Genome,Halogeometricum borinquense DSM 11551,representative genome,full,GCF_000172995.2,GCA_000172995.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2,ASM17299v2
ASM17957v2,GCA_000179575.2,PRJNA224116,SAMN00100784,Complete Genome,Methanothermococcus okinawensis IH1,representative genome,full,GCF_000179575.2,GCA_000179575.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/575/GCA_000179575.2_ASM17957v2,ASM17957v2
ASM18636v1,GCA_000186365.1,PRJNA224116,SAMN00103627,Complete Genome,Desulfurococcus mucosus DSM 2162,representative genome,full,GCF_000186365.1,GCA_000186365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,ASM18636v1
ASM19031v1,GCA_000190315.1,PRJNA224116,SAMN02603092,Complete Genome,Vulcanisaeta moutnovskia 768-28,representative genome,full,GCF_000190315.1,GCA_000190315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/315/GCA_000190315.1_ASM19031v1,ASM19031v1
ASM19158v1,GCA_000191585.1,PRJNA224116,SAMN02232037,Complete Genome,Methanobacterium lacus,representative genome,full,GCF_000191585.1,GCA_000191585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/585/GCA_000191585.1_ASM19158v1,ASM19158v1
ASM19337v1,GCA_000193375.1,PRJNA224116,SAMN02603093,Complete Genome,Thermoproteus uzoniensis 768-20,na,full,GCF_000193375.1,GCA_000193375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/375/GCA_000193375.1_ASM19337v1,ASM19337v1
ASM19462v1,GCA_000194625.1,PRJNA224116,SAMN00713598,Complete Genome,Archaeoglobus veneficus SNP6,representative genome,full,GCF_000194625.1,GCA_000194625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,ASM19462v1
ASM19589v1,GCA_000195895.1,PRJNA224116,SAMN02598252,Complete Genome,Methanosarcina barkeri str. Fusaro,na,full,GCF_000195895.1,GCA_000195895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/895/GCA_000195895.1_ASM19589v1,ASM19589v1
ASM19591v1,GCA_000195915.1,PRJNA224116,SAMEA3138325,Complete Genome,Thermoplasma acidophilum DSM 1728,representative genome,full,GCF_000195915.1,GCA_000195915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/915/GCA_000195915.1_ASM19591v1,ASM19591v1
ASM19593v2,GCA_000195935.2,PRJNA224116,SAMEA3283067,Complete Genome,Pyrococcus abyssi GE5,representative genome,full,GCF_000195935.2,GCA_000195935.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/935/GCA_000195935.2_ASM19593v2,ASM19593v2
ASM19665v1,GCA_000196655.1,PRJNA224116,SAMN00015125,Complete Genome,Methanohalobium evestigatum Z-7303,representative genome,full,GCF_000196655.1,GCA_000196655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/655/GCA_000196655.1_ASM19665v1,ASM19665v1
ASM19689v1,GCA_000196895.1,PRJNA224116,SAMN02603490,Complete Genome,Halalkalicoccus jeotgali B3,representative genome,full,GCF_000196895.1,GCA_000196895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,ASM19689v1
ASM20071v1,GCA_000200715.1,PRJNA202,SAMN02744041,Chromosome,Cenarchaeum symbiosum A,na,full,GCA_000200715.1,GCA_000200715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/715/GCA_000200715.1_ASM20071v1,ASM20071v1
ASM20441v1,GCA_000204415.1,PRJNA224116,SAMN02604263,Complete Genome,Methanothrix soehngenii GP6,representative genome,full,GCF_000204415.1,GCA_000204415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/415/GCA_000204415.1_ASM20441v1,ASM20441v1
ASM20458v1,GCA_000204585.1,PRJNA52465,SAMN02471010,Chromosome,Candidatus Nitrosoarchaeum limnia SFB1,na,full,GCA_000204585.1,GCA_000204585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/585/GCA_000204585.1_ASM20458v1,ASM20458v1
ASM20492v1,GCA_000204925.1,PRJNA224116,SAMN02603221,Complete Genome,Metallosphaera cuprina Ar-4,representative genome,full,GCF_000204925.1,GCA_000204925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/925/GCA_000204925.1_ASM20492v1,ASM20492v1
